Iter, Rerror, Perror
1 2.44553748788340931e-05 1.87698318072197450e-05
2 7.74701987038770025e-08 8.10581199833401810e-08
3 1.57922150772300561e-09 1.93707417419241726e-09
4 1.51943841185717203e-10 2.03858504816049007e-10
5 7.81840124456018004e-14 1.47809101112534613e-13
Iter, Rerror, Perror
1 1.82803995450061764e-06 1.42406416710166405e-06
2 1.96212165404391557e-09 2.05583152029681977e-09
3 4.49288279472769317e-11 5.11737521780372341e-11
4 5.28011913567110730e-15 6.67604323805404316e-15
Iter, Rerror, Perror
1 1.79604553325472852e-07 1.40333106383987382e-07
2 4.59375589894641277e-11 4.79450723441226882e-11
3 7.86747502526429034e-13 6.69997734378222973e-13
Iter, Rerror, Perror
1 3.05957461760961876e-08 2.34828164927534597e-08
2 1.82513755905537743e-12 1.92331005158465534e-12
Iter, Rerror, Perror
1 2.16778847629161393e-09 1.68579558245011235e-09
2 5.52809360029246932e-14 5.85052288165874939e-14
