Iter, Rerror, Perror
1 2.15227099496099611e-02 2.72265234722479724e-02
2 6.29171352343984008e-03 1.07866631990326447e-02
3 1.09738380124483020e-03 2.47539138851245177e-03
4 1.18456155617054052e-04 3.18473144198053615e-04
5 8.46720011568959885e-06 2.60672111245318344e-05
6 4.37284536974781396e-07 1.48485831916340479e-06
7 1.66550048625704139e-08 6.04209890430756044e-08
8 4.76827198613045415e-10 1.82920376417707706e-09
9 1.04363674878965835e-11 4.20293880736052238e-11
10 1.58602336931436933e-13 6.87958652156837255e-13
