Iter, Rerror, Perror
1 2.87807455097951722e-03 1.43253593350577721e-03
2 2.08931931200268705e-04 1.73045925595510049e-04
3 9.84747057232227966e-06 1.17673201029824772e-05
4 4.60985456382039899e-07 7.07840528391706019e-07
5 5.12822179502075178e-08 8.12401133287611257e-08
6 1.29256308568131939e-08 2.46821366116891633e-08
7 4.59223161967467126e-09 1.06173590147199738e-08
8 1.59999682570114918e-09 4.92590988837487312e-09
9 3.93018348742233358e-10 1.61114759268083010e-09
10 1.15978016339273118e-17 5.01051997056463066e-17
