Iter, Rerror, Perror
1 6.46291839277190472e-02 3.97053548911808440e-01
2 8.10506296233230207e-03 6.09951487868920714e-02
3 7.80043666502313118e-03 9.02418916759209905e-02
4 4.40455574057594529e-03 1.00587083471426322e-01
5 2.48590261864144960e-03 9.35676204898714253e-02
6 1.49560086171975732e-03 6.20749451161025229e-02
7 5.95684515223498276e-04 2.65015033847995386e-02
8 1.54147616189289873e-04 6.62045628452944106e-03
9 1.83568462056816692e-05 7.34467642006703049e-04
10 5.18018650964043758e-17 4.17555655969480143e-16
