Iter, Rerror, Perror
1 7.05133241114404632e-03 2.53137255267024519e-01
2 1.26973940661557496e-03 4.39070935238396257e-02
3 1.08195016241376425e-04 4.04448072686720578e-03
4 7.05450928357871564e-06 2.62096485123104793e-04
5 3.91414053243827613e-07 1.53316235862128176e-05
6 1.47267320917348385e-08 6.82696270223268423e-07
7 2.61817317435998993e-10 1.44043655838625006e-08
8 9.19136512458019761e-12 3.81323384972908352e-10
9 2.08301780887201632e-13 1.02555485657893086e-11
10 4.39954871768016385e-18 5.45444604319118342e-17
