time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 9.5771446536e+00 4.8451465307e-02
5.0000000000e-02 9.5507292799e+00 4.8383763266e-02
1.0000000000e-01 9.4670526572e+00 4.8165844138e-02
1.5000000000e-01 9.3280108953e+00 4.7798695157e-02
2.0000000000e-01 9.1334320779e+00 4.7283887558e-02
2.5000000000e-01 8.8852549386e+00 4.6623563625e-02
3.0000000000e-01 8.5881134605e+00 4.5820705034e-02
3.5000000000e-01 8.2463969532e+00 4.4878634325e-02
4.0000000000e-01 7.8649289467e+00 4.3801486371e-02
4.5000000000e-01 7.4482695550e+00 4.2593792889e-02
5.0000000000e-01 7.0024162119e+00 4.1260870398e-02
5.5000000000e-01 6.5335311082e+00 3.9808394139e-02
6.0000000000e-01 6.0470853932e+00 3.8242580174e-02
6.5000000000e-01 5.5493117950e+00 3.6570204548e-02
7.0000000000e-01 5.0463633022e+00 3.4798442996e-02
7.5000000000e-01 4.5438916800e+00 3.2934863340e-02
8.0000000000e-01 4.0475885272e+00 3.0987405512e-02
8.5000000000e-01 3.5644532075e+00 2.8964389358e-02
9.0000000000e-01 3.1002694855e+00 2.6874367904e-02
9.5000000000e-01 2.6597763456e+00 2.4726290332e-02
1.0000000000e+00 2.2464496719e+00 2.2529150268e-02
1.0500000000e+00 1.8648442098e+00 2.0292212514e-02
1.1000000000e+00 1.5193769190e+00 1.8025021086e-02
1.1500000000e+00 1.2125840609e+00 1.5737082315e-02
1.2000000000e+00 9.4687789550e-01 1.3438171765e-02
1.2500000000e+00 7.2340557263e-01 1.1138201865e-02
1.3000000000e+00 5.4289752649e-01 8.8476498678e-03
1.3500000000e+00 4.0481330884e-01 6.5783398161e-03
1.4000000000e+00 3.0905894460e-01 4.3467606018e-03
1.4500000000e+00 2.5389137781e-01 2.1985497516e-03
1.5000000000e+00 2.3766910522e-01 8.7208907485e-04
1.5500000000e+00 2.5875922168e-01 2.3850865340e-03
1.6000000000e+00 3.1410306888e-01 4.3899921937e-03
1.6500000000e+00 3.9978620911e-01 6.3673428742e-03
1.7000000000e+00 5.1187398625e-01 8.2803488170e-03
1.7500000000e+00 6.4626252887e-01 1.0115721951e-02
1.8000000000e+00 7.9866832863e-01 1.1864449039e-02
1.8500000000e+00 9.6529730021e-01 1.3519486457e-02
1.9000000000e+00 1.1416011984e+00 1.5074592485e-02
1.9500000000e+00 1.3229109423e+00 1.6524290714e-02
2.0000000000e+00 1.5054173149e+00 1.7863838182e-02
2.0500000000e+00 1.6860302707e+00 1.9088884383e-02
2.1000000000e+00 1.8599996065e+00 2.0195960943e-02
2.1500000000e+00 2.0224268359e+00 2.1181806383e-02
2.2000000000e+00 2.1705331114e+00 2.2044259847e-02
2.2500000000e+00 2.3016927455e+00 2.2781318180e-02
2.3000000000e+00 2.4129905338e+00 2.3391721465e-02
2.3500000000e+00 2.5024719047e+00 2.3874947623e-02
2.4000000000e+00 2.5692024917e+00 2.4230870044e-02
2.4500000000e+00 2.6129678503e+00 2.4460043100e-02
2.5000000000e+00 2.6330708914e+00 2.4563620309e-02
2.5500000000e+00 2.6295833475e+00 2.4543189683e-02
2.6000000000e+00 2.6023626417e+00 2.4401082698e-02
2.6500000000e+00 2.5522262542e+00 2.4140064550e-02
2.7000000000e+00 2.4807277963e+00 2.3763328366e-02
2.7500000000e+00 2.3895282534e+00 2.3274758382e-02
2.8000000000e+00 2.2808063887e+00 2.2678509581e-02
2.8500000000e+00 2.1565471446e+00 2.1979427289e-02
2.9000000000e+00 2.0188178601e+00 2.1182501358e-02
2.9500000000e+00 1.8710219776e+00 2.0293446563e-02
3.0000000000e+00 1.7165236134e+00 1.9317914971e-02
3.0500000000e+00 1.5577859451e+00 1.8262129721e-02
3.1000000000e+00 1.3975342885e+00 1.7132676558e-02
3.1500000000e+00 1.2399345730e+00 1.5936345996e-02
3.2000000000e+00 1.0881475696e+00 1.4680095119e-02
3.2500000000e+00 9.4376169987e-01 1.3371001064e-02
3.3000000000e+00 8.0810113476e-01 1.2016574258e-02
3.3500000000e+00 6.8326861142e-01 1.0624207457e-02
3.4000000000e+00 5.7166890180e-01 9.2015517896e-03
3.4500000000e+00 4.7474091663e-01 7.7562767622e-03
3.5000000000e+00 3.9339242958e-01 6.2963825348e-03
3.5500000000e+00 3.2795617807e-01 4.8303449300e-03
3.6000000000e+00 2.7935311455e-01 3.3682653002e-03
3.6500000000e+00 2.4732842545e-01 1.9279622286e-03
3.7000000000e+00 2.3259970985e-01 6.2977004384e-04
3.7500000000e+00 2.3437269280e-01 1.1184820831e-03
3.8000000000e+00 2.5220147648e-01 2.4638089517e-03
3.8500000000e+00 2.8544237238e-01 3.8177929998e-03
3.9000000000e+00 3.3249142156e-01 5.1402661305e-03
3.9500000000e+00 3.9154502613e-01 6.4198786250e-03
4.0000000000e+00 4.6093035889e-01 7.6492914827e-03
4.0500000000e+00 5.3778012113e-01 8.8225075541e-03
4.1000000000e+00 6.2053350923e-01 9.9342700932e-03
4.1500000000e+00 7.0737402489e-01 1.0979848101e-02
4.2000000000e+00 7.9682541981e-01 1.1955111101e-02
4.2500000000e+00 8.8671386380e-01 1.2856013855e-02
4.3000000000e+00 9.7488702228e-01 1.3679375590e-02
4.3500000000e+00 1.0582197495e+00 1.4422229908e-02
4.4000000000e+00 1.1352497167e+00 1.5082297276e-02
4.4500000000e+00 1.2048632154e+00 1.5657437069e-02
4.5000000000e+00 1.2654231844e+00 1.6146029366e-02
4.5500000000e+00 1.3160726036e+00 1.6547190129e-02
4.6000000000e+00 1.3561140063e+00 1.6860279371e-02
4.6500000000e+00 1.3851353073e+00 1.7085048662e-02
4.7000000000e+00 1.4036685661e+00 1.7221828779e-02
4.7500000000e+00 1.4114375050e+00 1.7271288039e-02
4.8000000000e+00 1.4073073672e+00 1.7234583787e-02
4.8500000000e+00 1.3922501476e+00 1.7113302287e-02
4.9000000000e+00 1.3659475708e+00 1.6909358826e-02
4.9500000000e+00 1.3290009478e+00 1.6625128105e-02
5.0000000000e+00 1.2825528734e+00 1.6263186146e-02
5.0500000000e+00 1.2280452209e+00 1.5826670721e-02
5.1000000000e+00 1.1662471404e+00 1.5318941050e-02
5.1500000000e+00 1.0983406200e+00 1.4743649137e-02
5.2000000000e+00 1.0260799850e+00 1.4104678523e-02
5.2500000000e+00 9.5003610096e-01 1.3406433455e-02
5.3000000000e+00 8.7219611133e-01 1.2653050505e-02
5.3500000000e+00 7.9365081724e-01 1.1849419520e-02
5.4000000000e+00 7.1501197385e-01 1.1000263502e-02
5.4500000000e+00 6.3867416949e-01 1.0110604198e-02
5.5000000000e+00 5.6618650815e-01 9.1854837625e-03
5.5500000000e+00 4.9965823565e-01 8.2301167061e-03
5.6000000000e+00 4.4020715855e-01 7.2499381588e-03
5.6500000000e+00 3.8708229381e-01 6.2502337656e-03
5.7000000000e+00 3.4135438897e-01 5.2366876642e-03
5.7500000000e+00 3.0365546429e-01 4.2149573809e-03
5.8000000000e+00 2.7350213692e-01 3.1912707251e-03
5.8500000000e+00 2.5140243580e-01 2.1738198263e-03
5.9000000000e+00 2.3837629912e-01 1.1804731071e-03
5.9500000000e+00 2.3376797705e-01 7.7828536901e-04
6.0000000000e+00 2.3675770848e-01 9.5959544725e-04
6.0500000000e+00 2.4747901583e-01 1.8946615651e-03
6.1000000000e+00 2.6438374390e-01 2.8303974118e-03
6.1500000000e+00 2.8702303097e-01 3.7427461364e-03
6.2000000000e+00 3.1574894471e-01 4.6239674439e-03
6.2500000000e+00 3.4948375988e-01 5.4687781373e-03
6.3000000000e+00 3.8727666969e-01 6.2730215312e-03
6.3500000000e+00 4.2769127398e-01 7.0332350480e-03
6.4000000000e+00 4.6883345375e-01 7.7461404788e-03
6.4500000000e+00 5.1026477459e-01 8.4088550546e-03
6.5000000000e+00 5.5134323357e-01 9.0188155477e-03
6.5500000000e+00 5.9138643352e-01 9.5738483284e-03
6.6000000000e+00 6.2945684763e-01 1.0072071053e-02
6.6500000000e+00 6.6508394193e-01 1.0511848865e-02
6.7000000000e+00 6.9736392485e-01 1.0891928052e-02
6.7500000000e+00 7.2541039958e-01 1.1211495710e-02
6.8000000000e+00 7.4872729961e-01 1.1469740742e-02
6.8500000000e+00 7.6730326800e-01 1.1666522104e-02
6.9000000000e+00 7.8120025369e-01 1.1801807193e-02
6.9500000000e+00 7.8876365138e-01 1.1876028997e-02
7.0000000000e+00 7.8937135836e-01 1.1889653690e-02
7.0500000000e+00 7.8479419824e-01 1.1843774033e-02
7.1000000000e+00 7.7566689637e-01 1.1739526885e-02
7.1500000000e+00 7.6165786809e-01 1.1578357583e-02
7.2000000000e+00 7.4280836954e-01 1.1362119034e-02
7.2500000000e+00 7.1869708285e-01 1.1092766949e-02
7.3000000000e+00 6.9038319068e-01 1.0772526033e-02
7.3500000000e+00 6.5936624034e-01 1.0403898671e-02
7.4000000000e+00 6.2641243283e-01 9.9894670379e-03
7.4500000000e+00 5.9144487667e-01 9.5320874394e-03
7.5000000000e+00 5.5494917957e-01 9.0348498728e-03
7.5500000000e+00 5.1787951223e-01 8.5009669659e-03
7.6000000000e+00 4.8073372794e-01 7.9335714661e-03
7.6500000000e+00 4.4396889917e-01 7.3361964515e-03
7.7000000000e+00 4.0816805007e-01 6.7123528369e-03
7.7500000000e+00 3.7412619367e-01 6.0656774489e-03
7.8000000000e+00 3.4259313817e-01 5.3998125481e-03
7.8500000000e+00 3.1420183334e-01 4.7183666457e-03
7.9000000000e+00 2.8936830656e-01 4.0250837733e-03
7.9500000000e+00 2.6867685869e-01 3.3236962963e-03
8.0000000000e+00 2.5228081943e-01 2.6179890450e-03
8.0500000000e+00 2.4040630087e-01 1.9114586420e-03
8.1000000000e+00 2.3224911844e-01 1.2077743248e-03
8.1500000000e+00 2.2751358906e-01 5.9209266861e-04
8.2000000000e+00 2.2647019310e-01 6.1508066635e-04
8.2500000000e+00 2.2909520925e-01 8.5143420103e-04
8.3000000000e+00 2.3542313066e-01 1.5094429904e-03
8.3500000000e+00 2.4518938549e-01 2.1480113743e-03
8.4000000000e+00 2.5799994957e-01 2.7642141750e-03
8.4500000000e+00 2.7461568993e-01 3.3553439599e-03
8.5000000000e+00 2.9386137262e-01 3.9186339688e-03
8.5500000000e+00 3.1377037798e-01 4.4518920566e-03
